,Zillow ID,address,zipcode,alat,alon,valuation,sqft,value sqft,neighborhood,tractCode,countyFips,stateFips,commuteTime,Region,Severity
64,125890399,9708 Schmidt Lane,78653,30.407528,-97.536172,612237,4468,137.03,Magnolia Ranch Estates,1859,453,48,35.3,O18,0
65,29496033,4412 Corran Ferry Loop,78749,30.203132,-97.85215,358782,2023,177.35,Maple Run,1777,453,48,27.4,H7,476
66,29471395,9916 Horizon Lane,78719,30.105269,-97.679548,311501,2302,135.32,,2436,453,48,26.7,E13,0
67,29455053,16901 Gravesend Road,78660,30.460506,-97.64203,213711,1696,126.01,Swenson Farms,1861,453,48,24.6,Q14,0
68,83815835,3510 Pawnee Pass,78738,30.330992,-97.97825,1143564,4367,261.86,,1773,453,48,30.8,L2,0
69,29432179,10403 Golden Quail Drive,78758,30.377924,-97.702183,288556,1414,204.07,North Austin Civic Association,1821,453,48,21.7,N12,2372
70,64611976,11905 Lime Creek Road,78641,30.483423,-97.882794,314157,2024,155.22,,1765,453,48,31.3,R6,0
71,29438527,12196 Running Bird Lane,78758,30.406633,-97.695707,301205,1936,155.58,Village at Walnut Creek,1826,453,48,20.8,O12,970
72,80100664,7705 Huddleston Lane,78745,30.188366,-97.79844,342289,2506,136.59,Elm Wood Estates,2424,453,48,30.3,H8,829
73,29352403,108 Duck Lake Drive,78734,30.359757,-97.977363,409742,2332,175.7,The Preserve at Lakeway,1778,453,48,28.7,M2,0
74,29553994,1902 Shadowbrook Circle,78681,30.490701,-97.705277,416432,3093,134.64,Cimarron,20503,491,48,26.2,R12,2
75,29479398,7807 Callbram Lane,78736,30.233019,-97.894034,334185,1719,194.41,West Oak Hill,1769,453,48,27.9,I5,175
76,29494808,7101 Cherry Meadow Drive,78745,30.199179,-97.803962,210634,940,224.08,Cherry Meadows,1728,453,48,27.7,H8,829
77,70354255,11620 Shadow Creek Drive,78653,30.361849,-97.54993,243522,2031,119.9,,1856,453,48,26.4,N17,0
78,58299379,8320 Adirondack Trail,78759,30.379642,-97.757069,554721,2687,206.45,Mesa Forest,1706,453,48,21.9,N10,580
79,144974070,12132 Parsons Road,78653,30.328223,-97.507707,343569,3417,100.55,The Post Oak,2209,453,48,31,L19,0
80,29471661,7100 Verde Court,78610,30.063327,-97.714443,161073,2128,75.69,,2434,453,48,32.3,C11,0
81,64818530,1100 Teapot Drive,78660,30.423237,-97.641259,218565,1590,137.46,Northtown Park,1841,453,48,24.1,P14,0
82,144994497,11502 Bonham Lane,78736,30.236453,-98.004138,586893,1632,359.62,,10809,209,48,33.6,I1,0
83,29447558,14509 Crystal Court,78728,30.439805,-97.676659,301774,1584,190.51,,1853,453,48,24.6,P13,426
84,70356944,13304 Sleepy Hollow Road,78736,30.247939,-97.991176,759381,3814,199.1,,1768,453,48,33.1,J2,0
85,144991556,8009 Sassman Road,78747,30.138627,-97.725617,244505,1751,139.64,,2432,453,48,33.1,F11,98
86,144352194,11935 Von Quintus Road,78719,30.101807,-97.679032,204983,1734,118.21,,2436,453,48,26.7,E13,0
87,83822003,16116 Voelker Lane,78621,30.346984,-97.465034,444707,3071,144.81,,2209,453,48,31,M20,0
88,64689739,7610 Blue Goose Road,78653,30.340269,-97.607802,211803,1576,134.39,Harris Branch,1856,453,48,26.4,M15,114
89,64690794,14600 FM 812,78719,30.114289,-97.627506,151102,1344,112.43,Country View Estates,2435,453,48,26.7,E14,0
90,29356901,11701 Portofino Drive,78732,30.372079,-97.87796,673693,4208,160.1,Marshall Ford,1760,453,48,33.2,N6,0
91,70324396,304 Clubhouse Drive,78734,30.368717,-97.960113,403848,2247,179.73,Bella Montagna,1778,453,48,28.7,N3,0
92,29429419,10703 Jonwood Way,78753,30.36624,-97.670015,315693,3479,90.74,Woodcliff,1833,453,48,26.4,N13,928
93,29474985,900 Juanita Street,78704,30.241795,-97.763891,545444,1880,290.13,Galindo,1307,453,48,20.4,I10,2734
94,83126406,12317 Terranova Cove,78737,30.179531,-97.918222,593808,4082,145.47,Meridian,1775,453,48,28.1,G4,28
95,2105062834,13400 Briarwick Drive,78729,30.45174,-97.76841,318806,1700,187.53,Springwoods,20411,491,48,27,Q10,62
96,64433168,8915 Appaloosa Run,78737,30.192974,-97.94134,522789,2378,219.84,Appaloosa Run,1733,453,48,25.8,H4,51
97,88015767,4598 Aria Cove,78681,30.547307,-97.733272,413240,2855,144.74,Sendero Springs,20603,491,48,26.3,T11,0
98,89546291,11501 Maha Loop Road,78719,30.09334,-97.682424,192693,1560,123.52,,2436,453,48,26.7,D13,0
99,64705110,105 Far Vela Lane,78738,30.335784,-97.963851,1022645,5697,179.51,Vistas at Lakeway,1742,453,48,30.1,M3,0
100,29366095,11011 Galleria Cove,78759,30.413898,-97.757756,450298,2499,180.19,,2500,453,48,22.1,O10,965
101,29367074,17001 South Ridge Lane,78734,30.418081,-97.944796,579280,1995,290.37,,1741,453,48,24.9,O3,0
102,70339281,11204 Wet Season,78754,30.372774,-97.653121,281706,1799,156.59,Pioneer Crossing West,1834,453,48,23.6,N14,271
103,243339028,13700 Sage Grouse Drive,78729,30.466063,-97.761643,281748,1769,159.27,Springwoods,20409,491,48,24.8,Q10,62
104,29367465,5907 Sierra Madre,78759,30.419921,-97.755832,553453,3240,170.82,Angus Valley,2500,453,48,22.1,P10,644
105,83124873,12012 Montclair Way,78732,30.341566,-97.90929,507739,3406,149.07,,1760,453,48,33.2,M5,0
106,29374583,10901 Pickfair Drive,78750,30.438328,-97.810442,509328,2489,204.63,,1714,453,48,27.6,P8,115
107,144352148,11120 Lambert Lane,78719,30.116346,-97.67958,385013,959,401.47,,2436,453,48,26.7,E13,0
108,29471257,8405 Linden Loop,78617,30.132658,-97.593266,163640,1456,112.39,Timber Hills,2435,453,48,26.7,F16,0
109,64673863,18216 Great Valley Drive,78653,30.325122,-97.528921,151669,1076,140.96,Briarcreek,2209,453,48,31,L18,0
110,52830622,15128 Thatcher Drive,78717,30.495069,-97.769043,432449,3395,127.38,,20510,491,48,29.9,R10,86
111,58301372,6809 Colony Loop Drive,78724,30.29937,-97.640539,143359,930,154.15,Park Place,2202,453,48,30,K14,731
112,29416023,6103 Shoalwood Avenue,78757,30.3375,-97.742008,529301,956,553.66,Allandale,1501,453,48,18.7,M10,581
113,241938398,14650 Graef Road,78610,30.062951,-97.756852,310083,1536,201.88,,2434,453,48,32.3,C10,0
114,29369287,11607 Buttonwood Drive,78759,30.421674,-97.758291,431462,2107,204.78,Arrowwood,2500,453,48,22.1,P10,644
115,144352326,4210 Turnersville Road,78610,30.079349,-97.751428,236858,1216,194.78,,2434,453,48,32.3,D10,0
116,29476395,2713 La Mesa Drive,78704,30.236226,-97.760744,386655,960,402.77,Dawson,1308,453,48,21.8,I10,2734
117,29471307,11104 FM 1625,78719,30.106782,-97.728461,312114,1344,232.23,,2432,453,48,33.1,E11,0
118,29373242,14609 Pocohontas Trail,78641,30.427832,-97.892225,944869,984,960.23,,1765,453,48,31.3,P5,0
119,80106642,19600 Moorlynch Avenue,78660,30.465385,-97.571644,312151,2407,129.68,,1858,453,48,28.5,Q16,0
120,29510145,10103 Lindshire Lane,78748,30.176059,-97.839972,293466,1647,178.18,Tanglewood Forest,1748,453,48,27.2,G7,482
121,63836088,11502 Lapoynor Street,78653,30.336266,-97.562819,189637,1611,117.71,Wildhorse Creek,2212,453,48,29.6,M17,0
122,89651203,3056 Agave Loop,78681,30.539524,-97.718911,440367,3363,130.94,Behrens Ranch,20603,491,48,26.3,T11,0
123,80104507,4513 Rapid Springs Cove East,78746,30.32148,-97.786464,1702815,5719,297.75,Balcones Park,1913,453,48,23.9,L9,60
124,29363413,8300 Elander Drive,78750,30.392492,-97.80279,887301,5308,167.16,Angel Pass,1716,453,48,24.7,O8,12
125,2124015951,905 West Howard Lane,78728,30.417733,-97.665326,261915,1201,218.08,Wildflower,1839,453,48,22.6,O13,1227
126,29479690,10000 Hillside North,78736,30.236451,-97.952955,419568,2216,189.34,,1768,453,48,33.1,I3,0
127,83824739,3509 Kelly Lane,78660,30.458595,-97.570808,385161,2876,133.92,,1858,453,48,28.5,Q16,0
128,29432550,911 Meadows Drive North,78758,30.375583,-97.69379,280916,1684,166.81,North Lamar,1822,453,48,24.4,N12,2372
129,29383785,16602 Deep Meadow Cove,78653,30.25122,-97.556973,448788,4503,99.66,,2207,453,48,36.5,J17,0
130,29604570,1205 Lacey Oak Loop,78681,30.530979,-97.700458,268743,2281,117.82,Oak Creek,20602,491,48,25.4,S12,37
131,58304464,1101 Minda Drive,78758,30.387624,-97.689416,336664,2111,159.48,Gracywoods,1845,453,48,22.4,N12,2372
132,58304368,11815 Eubank Drive,78758,30.389935,-97.685762,305285,1775,171.99,Oak Ridge,1845,453,48,22.4,N12,2372
133,29347178,14 Club Estates Parkway,78738,30.347444,-97.99083,1340137,7077,189.37,,1773,453,48,30.8,M2,0
134,29412647,7105 Blessing Avenue,78752,30.328033,-97.695152,230001,1260,182.54,St. Johns,1812,453,48,24.8,L12,3612
135,29406958,1404 Northridge Drive,78723,30.314663,-97.69848,420442,1604,262.12,Windsor Park,2104,453,48,25.9,L12,3612
136,29517319,12902 Shawnee Drive,78652,30.119864,-97.818382,334159,1542,216.7,,2407,453,48,32.1,E8,1
137,70355649,3104 Richfield Landing,78660,30.461658,-97.576933,384498,3600,106.8,,1858,453,48,28.5,Q16,0
138,29457990,2604 Butler National Drive,78660,30.474712,-97.575426,320883,2920,109.89,,1858,453,48,28.5,Q16,0
139,29344268,5108 Lucas Lane,78731,30.336404,-97.764175,901677,3433,262.65,Highland Hills,102,453,48,21.1,M10,581
140,29419042,1708 Pasadena Drive,78757,30.346496,-97.727407,438521,1239,353.93,Crestview,1504,453,48,18.1,M11,1728
141,94641966,19104 Leisure Lane,78645,30.458828,-97.958742,733974,4183,175.47,,1780,453,48,39.3,Q3,0
142,144994458,10800 Circle Drive,78736,30.244141,-97.944024,437074,3084,141.72,,1768,453,48,33.1,I3,0
143,70330276,4421 Mirador Drive,78735,30.264616,-97.865864,1598679,5256,304.16,,1908,453,48,23.3,J6,127
144,70344718,13821 Briarcreek Loop,78653,30.312933,-97.531317,170967,1300,131.51,Briarcreek,2209,453,48,31,L18,0
145,84378582,2185 FM 812,78616,30.063737,-97.560917,233998,2754,84.97,,950801,21,48,41.1,C17,0
146,29391680,21929 Ann Showers Drive,78621,30.274126,-97.475191,183623,1050,174.88,Estates at Wilbarger Creek,2210,453,48,37.2,J20,0
147,29487517,9207 Granada Hills Drive,78737,30.216766,-97.899739,477019,2253,211.73,Lewis Mountain Ranch,1733,453,48,25.8,I5,175
148,29469540,5709 Colton Road,78719,30.172783,-97.688677,258003,1838,140.37,,2435,453,48,26.7,G12,7
149,144251137,20117 Lockwood Road,78653,30.302138,-97.499837,289489,2426,119.33,Lockwood Farms,2210,453,48,37.2,K19,0
150,29471077,10223 Thaxton Road,78747,30.125542,-97.738536,285551,1113,256.56,Thaxton Place,2432,453,48,33.1,E11,0
151,29428805,915 East Village Lane,78758,30.368758,-97.697767,144137,930,154.99,North Austin Civic Association,1822,453,48,24.4,N12,2372
152,29471454,14104 Hokanson Road,78617,30.108621,-97.641103,253582,2284,111.03,Rio Vista Ranch,2436,453,48,26.7,E14,0
153,29462325,6220 Palm Circle,78741,30.232882,-97.698788,264915,962,275.38,Montopolis,2318,453,48,22.6,I12,1243
154,29510413,10105 Rocking Horse Road,78748,30.179149,-97.845897,355306,1910,186.02,Palomino Park,1748,453,48,27.2,G7,482
155,214443332,330 Watersedge Terrace Drive,78621,30.207539,-97.47977,132458,1612,82.17,,950100,21,48,38.7,H19,0
156,80110185,9517 Castle Pines Drive,78717,30.494378,-97.760304,348533,2455,141.97,Avery Ranch,20510,491,48,29.9,R10,86
157,29479413,7603 Callbram Lane,78736,30.233941,-97.891758,461357,2997,153.94,West Oak Hill,1769,453,48,27.9,I5,175
158,29433650,1812 Mearns Meadow Boulevard,78758,30.38282,-97.710188,322034,2161,149.02,North Austin Civic Association,1821,453,48,21.7,N12,2372
159,29509204,9105 Chisholm Lane,78748,30.177658,-97.809603,281393,1315,213.99,Westwood Heights,2423,453,48,34,G8,783
160,29507484,10304 Wolftrap Drive,78749,30.182888,-97.857569,402425,2826,142.4,Brodie Springs,1740,453,48,24.1,G6,10
161,29340055,12445 Fairfax Ridge Place,78738,30.313604,-97.931221,479021,2805,170.77,,1784,453,48,25.3,L4,0
162,63228290,14099 Ashton Woods Circle,78727,30.440601,-97.706142,269511,1446,186.38,Bratton Park,1846,453,48,23.8,P12,350
163,80097888,12601 Maidenhair Lane,78738,30.295452,-97.946057,1614518,6700,240.97,,1768,453,48,33.1,K3,0
164,58305575,4807 Misty Brook Cove,78727,30.416599,-97.734563,423934,2221,190.88,Angus Valley,1745,453,48,27.6,O11,1088
165,29381327,13108 Fawnvalley Drive,78613,30.514758,-97.88064,298037,1844,161.63,,1766,453,48,35.9,S6,0
166,29477173,4016 Clawson Road,78704,30.231135,-97.783301,488078,864,564.91,South Lamar,2005,453,48,26.7,I9,1680
167,70334530,19625 Cheyenne Valley Drive,78664,30.489016,-97.605895,302253,3289,91.9,,1855,453,48,24.2,R15,0
168,58312962,4703 South Forest Drive,78745,30.222107,-97.787182,308987,996,310.23,South Manchaca,2002,453,48,27.2,I9,1680
169,29407462,6802 Syracuse Cove,78723,30.313644,-97.668377,303610,1036,293.06,University Hills,2113,453,48,31.3,L13,1681
170,58303385,11800 Dessau Road,78753,30.384114,-97.670574,281818,1306,215.79,Pioneer Crossing West,1832,453,48,24,N13,928
171,83829536,19218 Lockwood Road,78653,30.309408,-97.514248,389924,3121,124.94,Lockwood Farms,2209,453,48,31,L18,0
172,29513482,11516 Gun Fight Lane,78748,30.160392,-97.854178,363055,2351,154.43,Shady Hollow,1774,453,48,31.1,G7,482
173,29514927,12303 Buffalo Grove Cove,78739,30.155723,-97.871613,548195,3800,144.26,Shady Hollow,1775,453,48,28.1,F6,5
174,29386640,1138 Marks Circle,78721,30.26912,-97.690814,327343,1078,303.66,Johnston Terrace,2111,453,48,23.1,J12,1191
175,29517136,506 Bear Canyon Drive,78652,30.125975,-97.829378,319963,1820,175.8,,2407,453,48,32.1,E7,0
176,214456467,411 Old 71,78612,30.165083,-97.494578,1550130,2211,701.1,,950300,21,48,33.7,G19,0
177,144987612,1051 Dalton Lane,78742,30.22743,-97.671227,202801,1232,164.61,,2310,453,48,26.5,I13,109
178,64555733,16712 French Harbour Court,78734,30.422856,-97.937729,1082391,4735,228.59,,1741,453,48,24.9,P4,0
179,29397081,9212 Tristam Drive,78621,30.283358,-97.470402,170890,924,184.95,Estates at Wilbarger Creek,2210,453,48,37.2,K20,0
180,29483623,5627 Wagon Train Road,78749,30.222471,-97.861467,328221,1413,232.29,Legend Oaks,1738,453,48,24.9,I6,373
181,28584379,107 Four Aces Road,78640,29.994435,-97.817311,219944,1906,115.4,,10906,209,48,33.9,A8,0
182,70332680,3000 Fleet Drive,78748,30.167657,-97.841474,356339,2531,140.79,Bauerle Ranch,1748,453,48,27.2,G7,482
183,70355663,18941 Colonial Manor Lane,78660,30.463773,-97.582359,372343,3469,107.33,,1858,453,48,28.5,Q16,0
184,110539553,12629 Ballerstedt Road,78621,30.342125,-97.46214,419660,2745,152.88,,2209,453,48,31,M20,0
185,70331835,8400 Big View Drive,78730,30.351706,-97.86869,2750069,6085,451.94,Austin Lake Hills,1760,453,48,33.2,M6,0
186,29465450,6905 East Riverside Drive,78741,30.221994,-97.697508,424886,980,433.56,Montopolis,2312,453,48,26.6,I12,1243
187,111967951,17115 Axell Lane,78653,30.412427,-97.487085,1596209,7658,208.44,,1854,453,48,40.5,O19,0
188,28595625,18 Carriage House Lane,78737,30.205857,-97.993837,542859,3069,176.88,,10809,209,48,33.6,H2,0
189,29396151,921 East 37th Street,78705,30.293917,-97.722423,515384,1541,334.45,Hancock,401,453,48,16.6,K11,1717
190,29471294,9609 Cliffbrook Drive,78747,30.102453,-97.715634,190611,1564,121.87,,2432,453,48,33.1,E11,0
191,29328405,4703 Wild Briar Pass,78746,30.277218,-97.822718,758750,2960,256.33,,1917,453,48,23.6,K8,13
192,64776463,16103 Flint Rock Road,78738,30.331093,-97.984181,890474,3743,237.9,Vistas at Lakeway,1773,453,48,30.8,L2,0
193,2093455393,325 Highland Estates Drive,78664,30.502291,-97.611439,222120,1106,200.83,Lake Forest,20804,491,48,28.2,R15,0
194,29491913,6655 Ruxton Lane,78749,30.211595,-97.884089,370624,1780,208.22,,1737,453,48,27.5,H6,376
195,29374619,10204 Lockerbie Court,78750,30.434277,-97.813068,620974,3661,169.62,,1714,453,48,27.6,P8,115
196,29339722,11533 Emerald Falls Drive,78738,30.312342,-97.915063,438901,2705,162.26,,1784,453,48,25.3,L4,0
197,29369997,11403 Charred Oak Drive,78759,30.42414,-97.770521,387434,1833,211.37,,1756,453,48,21.1,P9,666
198,111969572,9998 Paulines Way,78717,30.499245,-97.75848,519832,3056,170.1,Avery Ranch,20510,491,48,29.9,R10,86
199,70332507,9700 Peakridge Drive,78737,30.225636,-97.930387,570575,3224,176.98,Estates of Lewis Mountain,1733,453,48,25.8,I4,0
200,125747248,15205 Nightingale Lane,78734,30.365201,-97.947601,667332,3297,202.41,Bella Montagna,1742,453,48,30.1,N3,0
201,29555508,9507 Braes Valley Street,78729,30.46751,-97.777781,220069,1302,169.02,Springwoods,20409,491,48,24.8,Q9,781
202,58317238,1812 True Cove,78748,30.162735,-97.830184,273147,1430,191.01,Saddlewood Estates,1748,453,48,27.2,G7,482
203,29388905,4708 Santa Anna Street,78721,30.275142,-97.687216,282377,624,452.53,MLK,2110,453,48,23.1,K12,1229
204,29457121,17819 Madden Drive,78660,30.472371,-97.635489,241783,2102,115.03,Spring Trails,1855,453,48,24.2,Q14,0
205,29336774,2114 Cliffs Edge Drive,78733,30.301989,-97.889661,740979,3517,210.68,,1916,453,48,26.2,K5,0
206,70327763,7803 Lenape Trail,78736,30.248169,-97.927411,693750,3600,192.71,,1768,453,48,33.1,J4,0
207,58311960,8745 Linden Road,78617,30.126537,-97.595949,282172,2369,119.11,Jacobson Estates,2435,453,48,26.7,E15,0
208,29347203,66 The Hills Drive,78738,30.345993,-97.984056,583885,4333,134.75,,1773,453,48,30.8,M2,0
209,2129932290,11527 Doyle Overton Road,78617,30.073727,-97.641486,278981,1100,253.62,,950802,21,48,36.9,D14,0
210,29426461,8304 Hathaway Drive,78757,30.362823,-97.727361,313316,950,329.81,Wooten,1818,453,48,22.1,N11,1809
211,29365384,7219 Villa Maria Lane,78759,30.409537,-97.778461,650933,3474,187.37,,1755,453,48,25.2,O9,50
212,64520669,15207 Bowling Lane,78734,30.367713,-97.946765,389675,2476,157.38,Bella Montagna,1742,453,48,30.1,N3,0
213,29439392,11724 Running Fox Trail,78759,30.41307,-97.734227,350333,1568,223.43,Angus Valley,1754,453,48,22.2,O11,1088
214,70335326,1817 Marcus Abrams Boulevard,78748,30.154854,-97.835661,276021,1487,185.62,Canterbury Trails,1774,453,48,31.1,F7,164
215,144964754,16301 Decker Lake Road,78724,30.257982,-97.564298,716925,1613,444.47,Decker Lake Estates,2207,453,48,36.5,J17,0
216,29341625,345 Commons Ford Road,78733,30.324023,-97.875768,684138,2815,243.03,Austin Lake Hills,1783,453,48,27.1,L6,0
217,29495739,4303 Mauai Cove,78749,30.204762,-97.849337,291371,1388,209.92,Maple Run,1777,453,48,27.4,H7,476
218,96632784,10709 Jones Road,78653,30.302388,-97.486288,150981,1300,116.14,Lockwood Farms,2209,453,48,31,K19,0
219,70354705,11913 Timber Heights Drive,78754,30.375024,-97.647878,235383,1601,147.02,Pioneer Crossing West,1834,453,48,23.6,N14,271
